sample_id,catalog_content,image_link,price
2756,"Item Name: Pistachio Almond Green Tea (50 tea bags, ZIN: 541730) - 3 Pack
Bullet Point 1: Our Pistachio Almond Green Tea is a scrumptuous flavored Green tea with Pistachio Pieces, Almonds and Macadamia Nuts that will refresh you with its terrific taste! You will enjoy the Pistachio Almond aroma and flavor again and again! - Ingredients: Green tea, Pistachio Pieces, Almonds, Macadamia Nuts and Natural Pistachio Almond Flavor.
Bullet Point 2: No fillers.
Bullet Point 3: Manufacturer: TerraVita
Bullet Point 4: Size: 50 tea bags
Bullet Point 5: Green Tea Bags - Packed in a convenient upright pouch!
Product Description: Our Pistachio Almond Green Tea is a scrumptuous flavored Green tea with Pistachio Pieces, Almonds and Macadamia Nuts that will refresh you with its terrific taste! You will enjoy the Pistachio Almond aroma and flavor again and again! - Ingredients: Green tea, Pistachio Pieces, Almonds, Macadamia Nuts and Natural Pistachio Almond Flavor. - Hot tea brewing method: Bring freshly drawn cold water to a rolling boil. Place 1 teabag for each desired cup into the teapot. Pour the boiling water into the pot, cover and let steep for 2-4 minutes. Pour into your cup; add milk and natural sweeteners to taste. - Iced tea brewing method: (to make 1 liter/quart): Place 5 teabags into a teapot or heat resistant pitcher. Pour 1 1/4 cups of freshly boiled water over the teabags. Steep for 5 minutes. Quarter fill a serving pitcher with cold water. Pour the tea into the serving pitcher. Add ice and top-up with cold water. Garnish and sweeten to taste. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible standards of purity, potency, stability and freshness. All of our products are prepared with the highest elements of quality control, from raw materials through the entire manufacturing process, up to and including the moment that the bottles or bags are sealed for freshness and shipped out to you. Our highest possible standards are certified by independent laboratories and backed by our personal guarantee. - TerraVita exists to meet and ensure your family's health and wellness without the harmful effects of chemicals and health products. We strive to make all of our products affordable and reliable and are constantly searching the marke
Value: 150.0
Unit: Count
",https://m.media-amazon.com/images/I/8166YLpmZmL.jpg,56.56
3347,"Item Name: Birch Benders Plant Protein Pancake & Waffle Mix, 14 OZ
Bullet Point 1: 1 - 14 oz pouch of Birch Benders Plant Protein Pancake and Waffle Mix (Packaging may vary)
Bullet Point 2: Our Plant Protein pancakes are vegan, made with whole grains and pack 14g of plant protein per serving
Bullet Point 3: Kosher, BPA Free, Cholesterol, Dairy Free
Bullet Point 4: Don't want to use it all at once? Our resealable pouch keeps the mix fresh for next time
Bullet Point 5: Top with your favorite nut butter, or leave them alone- who knew plant-based pancakes could be so delicious
Value: 14.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81VckRXppBL.jpg,6.18
4095,"Item Name: Raspberry Ginseng Oolong Tea (50 tea bags, ZIN: 543034) - 2 Pack
Bullet Point 1: Our Raspberry Ginseng Oolong Tea is a luxurious flavored Oolong tea with Raspberries (Red), Raspberry Leaf (Red) and Ginseng Root that you can enjoy hot or cold! The Raspberry Ginseng flavor and aroma is wonderful! - Ingredients: Oolong tea, Raspberries (Red), Raspberry Leaf (Red), Ginseng Root and Natural Raspberry Ginseng Flavor.
Bullet Point 2: No fillers.
Bullet Point 3: Manufacturer: TerraVita
Bullet Point 4: Size: 50 tea bags
Bullet Point 5: Oolong Tea Bags - Packed in a convenient upright pouch!
Product Description: Our Raspberry Ginseng Oolong Tea is a luxurious flavored Oolong tea with Raspberries (Red), Raspberry Leaf (Red) and Ginseng Root that you can enjoy hot or cold! The Raspberry Ginseng flavor and aroma is wonderful! - Ingredients: Oolong tea, Raspberries (Red), Raspberry Leaf (Red), Ginseng Root and Natural Raspberry Ginseng Flavor. - Hot tea brewing method: Bring freshly drawn cold water to a rolling boil. Place 1 teabag for each desired cup into the teapot. Pour the boiling water into the pot, cover and let steep for 2-4 minutes. Pour into your cup; add milk and natural sweeteners to taste. - Iced tea brewing method: (to make 1 liter/quart): Place 5 teabags into a teapot or heat resistant pitcher. Pour 1 1/4 cups of freshly boiled water over the teabags. Steep for 5 minutes. Quarter fill a serving pitcher with cold water. Pour the tea into the serving pitcher. Add ice and top-up with cold water. Garnish and sweeten to taste. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible standards of purity, potency, stability and freshness. All of our products are prepared with the highest elements of quality control, from raw materials through the entire manufacturing process, up to and including the moment that the bottles or bags are sealed for freshness and shipped out to you. Our highest possible standards are certified by independent laboratories and backed by our personal guarantee. - TerraVita exists to meet and ensure your family's health and wellness without the harmful effects of chemicals and health products. We strive to make all of our products affordable and reliable and are constantly searching the market to
Value: 100.0
Unit: Count
",https://m.media-amazon.com/images/I/813OiT8mdJL.jpg,38.54
4703,"Item Name: Colman's Original English Squeezy Mustard 150g - Pack of 2
Value: 10.58
Unit: Ounce
",https://m.media-amazon.com/images/I/61Fxyn+YdpL.jpg,19.0
5117,"Item Name: Citrus Punch Black Tea (Loose) (4 oz, ZIN: 544970) - 2 Pack
Bullet Point 1: Our Citrus Punch Black Tea is a tasty flavored Black tea with Coconut, Orange Peel and Lemon Peel that has a refreshing taste that will impress you! The unique Citrus Punch taste is delicious! - Ingredients: Black tea, Coconut, Orange Peel, Lemon Peel and Natural Citrus Punch Flavor.
Bullet Point 2: No fillers.
Bullet Point 3: Manufacturer: TerraVita
Bullet Point 4: Size: 4 oz
Bullet Point 5: Loose Leaf Black Tea - Packed in a convenient upright pouch!
Product Description: Our Citrus Punch Black Tea is a tasty flavored Black tea with Coconut, Orange Peel and Lemon Peel that has a refreshing taste that will impress you! The unique Citrus Punch taste is delicious! - Ingredients: Black tea, Coconut, Orange Peel, Lemon Peel and Natural Citrus Punch Flavor. - Hot tea brewing method: Bring freshly drawn cold water to a rolling boil. Place 1 teaspoon of tea for each desired cup into the teapot. Pour the boiling water into the pot, cover and let steep for 2-4 minutes. Strain and pour into your cup; add milk and natural sweeteners to taste. - Iced tea brewing method: (to make 1 liter/quart): Place 5 teaspoons of tea into a teapot or heat resistant pitcher. Pour 1 1/4 cups of freshly boiled water over the tea itself. Steep for 5 minutes. Fill a serving pitcher with 1/4 cold water. Strain and pour the tea into the serving pitcher Add ice and top-up with cold water. Sweeten and garnish to taste. - TerraVita is an exclusive line of premium-quality, natural source products that use only the finest, purest and most potent ingredients found around the world. TerraVita is hallmarked by the highest possible standards of purity, potency, stability and freshness. All of our products are prepared with the highest elements of quality control, from raw materials through the entire manufacturing process, up to and including the moment that the bottles or bags are sealed for freshness and shipped out to you. Our highest possible standards are certified by independent laboratories and backed by our personal guarantee. - TerraVita exists to meet and ensure your family's health and wellness without the harmful effects of chemicals and health products. We strive to make all of our products affordable and reliable and are constantly searching the market to maintain ou
Value: 8.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81556u0tgQL.jpg,29.41
6172,"Item Name: Boost Kid Essentials 1.5 Balanced Nutritional Drink, Vitamin, Mineral and Nutrient Blend (Chocolate Craze, 8 Fl Oz (Pack of 27))
Bullet Point 1: Nestle Boost Kid Essentials has a high caloric density, delivering what kids need in a volume they can handle
Bullet Point 2: A high calcium content strengthens developing bones
Bullet Point 3: The pre-mixed liquid is suitable for drinking or for tube feeding
Bullet Point 4: Essential nutrients such as magnesium and vitamins D, C and K supplement a child's diet to ensure complete nutrition
Bullet Point 5: This drink is free of lactose and gluten and is suitable for children with sensitivities
Bullet Point 6: The Boost Kid Essentials chocolate craze flavor is made without any artificial colors, flavors or sweeteners for safer ingestion
Value: 216.0
Unit: Fl Oz
",https://m.media-amazon.com/images/I/61GdOTW41yL.jpg,71.525
7437,"Item Name: CLIF BARS - Energy Bars - 12 Flavor Variety Pack - Made with Organic Oats - Plant Based Food - Vegetarian - Kosher (2.4 Ounce Protein Bars, 12 Count)
Value: 28.8
Unit: Ounce
",https://m.media-amazon.com/images/I/71YCbR63E4L.jpg,2.29
11039,"Item Name: Dried Potatoes 1 Pound Bulk-Heat Sealed in a Poly Bag-Dehydrated Dried Vegetables
Bullet Point 1: Yield: 1 Cup yields 2 Cups (by volume) or 12 Ounces (by weight) - No additives or preservatives. Non-GMO. Gluten Free.
Bullet Point 2: Feathery light and creamy white, they are of exceptional quality.
Bullet Point 3: White Potatoes are a delightful addition to any meal... and our White Potatoes are an even better addition
Bullet Point 4: Dehydrated vegetables maintain a high level of their nutritive value and can be used in a variety of recipes. To rehydrate vegetables, combine 1 part vegetable with 2 parts water. Then, simmer for about 10-15 minutes, or soak for 1-2 hours. It is not necessary to rehydrate vegetables prior to using them in a recipe that requires cooking.
Bullet Point 5: Feathery light and creamy white, they are of exceptional quality. Use them in soups, stews, or other recipes--or just cook and eat plain!
Bullet Point 6: Perfectly Dehydrated Dried Potatoes: Discover the ease of our Dried Potatoes, these potatoes are dehydrated to keep flavor and nutrients for extended storage. Whether you're preparing your daily meals or storing them for your next outdoor adventure, these dried potatoes ensure you always have a vital ingredient on hand.
Bullet Point 7: Instant Mashed Potatoes: Create smooth mashed potatoes effortlessly with our Dried Potatoes. Just add water and watch them transform into fair perfection, ideal for pairing with any main dish or serving as a delightful separate side. Enjoy the homemade taste without the hassle.
Bullet Point 8: Add Vital Flavor to Your Meals: Enhance your soups, stews, and daily meals with our Dried Potatoes, crafted for exceptional flavor and convenience. Simply rehydrate these potatoes to add vital texture and richness to your favorite recipes. Perfect for pleasant evenings or hosting a gathering, they elevate every spoonful with flavorful goodness.
Bullet Point 9: Easy and Delicious: Whether you're making soups and stews, creamy mashed potatoes, or a satisfying one-dish meal, our Dried Potatoes deliver the flavor and nutrition you need with less effort. Enjoy the simplicity of cooking with good quality ingredients that enhance every dish.
Bullet Point 10: Effortless Perfection: Naturejam’s dried diced potatoes are ready when you just add water to rehydrate them to their original taste. Perfect for soups, stews, and other recipes, they save your time without compromising on taste. Enjoy the ease of cooking with the best quality potatoes that are convenient and full of nutrients.
Product Description: Dried potatoes, also known as dehydrated potatoes, are made from fresh potatoes that have been dried out. They’re super handy because they don’t need much preparation. You can easily rehydrate them to make mashed potatoes, which is a quick and tasty side dish. Beyond mashed potatoes, dice potatoes are versatile in the kitchen they’re also great in soups and stews, adding flavor and texture. As they’re lightweight, they’re perfect for camping trips or any other outdoor adventure. You can even grind them into a fine powder to make instant potato flakes, which are useful for thickening soups, dehydrated meals, or making dumplings. Their long shelf life and versatility make dried potatoes a useful ingredient to have around.
Value: 16.0
Unit: Ounce
",https://m.media-amazon.com/images/I/81dYaU98pZL.jpg,14.99
12548,"Item Name: Davidsons Organics 7129 2 oz Herbal Cocoa Nibs Sampler Tea - Pack of 6
Bullet Point 1: Herbal cocoa nibs sampler tea
Bullet Point 2: Pack of 6Specifications
Bullet Point 3: Capacity&#58; 2 oz
Bullet Point 4: Weight&#58; 0.06 lbs
Bullet Point 5: Quality product.
Product Description: Davidsons cocoa nibs are processed from pure organic cacao beans, which are used to make chocolate. Cocoa is also extraordinarily healthy. Cocoa is one of the most antioxidant dense foods on earth. It is also a great source of magnesium, iron, and fiber. Eating raw cocoa has also been scientifically proven to boost your mood. Brew a cup after dinner for a healthy and delicious light dessert tea, add them to yogurt, cereal, baking mix, bread mix or milkshake, for a perfect chocolate treat. Features. Herbal cocoa nibs sampler tea. Pack of 6Specifications. Capacity 2 oz. Weight 0.06 lbs
Value: 6.0
Unit: Count
",https://m.media-amazon.com/images/I/61jwzY8OgYL.jpg,35.44
17594,"Item Name: Maxons Yorkshire Mixture Toffee | Fruit Mix Candies | from England | Classic English Sweets Assortment | Real Mint Flavored Boiled Sweets | British Food | 8.82 Oz (250g)
Bullet Point 1: Maxons Yorkshire Mixture 250g: A delightful assortment of classic English sweets, carefully crafted with the finest quality ingredients
Bullet Point 2: Iconic British Confectionery: Experience the authentic taste of England with this mix of assorted candies, toffees, and traditional sweets
Bullet Point 3: Ideal for Sharing and Gifting: The generous 250g pack is ideal for sharing during gatherings or as a thoughtful gift for friends and family
Bullet Point 4: Charming Retro Packaging: The sweets are presented in attractive retro-style packaging, adding a touch of nostalgia to any occasion
Bullet Point 5: Versatile Snack: Whether you're craving a sweet treat or hosting a party, Maxons Yorkshire Mixture is the perfect choice
Bullet Point 6: Premium Quality: Made with great attention to detail, this confectionery assortment ensures a delightful taste experience
Bullet Point 7: Trusted Brand: Maxons has a long-standing reputation for producing top-notch confectionery products, making this Yorkshire Mixture a reliable choice
Product Description: Maxons Yorkshire Mixture 250g is a delightful assortment of classic English sweets, expertly crafted to provide an authentic taste of England's confectionery traditions. This delightful mix showcases a variety of candies, toffees, and traditional sweets, all made with the finest quality ingredients. Packaged in an eye-catching retro-style design, this 250g pack is perfect for sharing during gatherings with friends and family or for offering as a thoughtful gift on special occasions. The charming presentation adds a touch of nostalgia, making it a great addition to gift collections and sweet treat displays. Maxons Yorkshire Mixture is a versatile snack that satisfies sweet cravings anytime, anywhere. Whether you're hosting a party, enjoying a movie night, or simply in need of a delightful pick-me-up, these sweets are sure to please. As a trusted brand with a long-standing reputation, Maxons ensures each piece in this assortment is made with great attention to detail, providing a premium taste experience for confectionery enthusiasts of all ages. Indulge in the classic flavors of England and experience the joy of Maxons Yorkshire Mixture 250g – a true celebration of British confectionery excellence
Value: 8.82
Unit: Ounce
",https://m.media-amazon.com/images/I/71ex6fm994L.jpg,10.4
